report_date,active_users,purchase_user_count,redeem_user_count,purchase_times,redeem_times,purchase_redeem_overlap_users,avg_purchase_per_user,avg_redeem_per_user
20140804,12157,7682,1051,7682,1051,1001,43040.98984639417,307238.3672692674
20140805,12174,7666,1008,7666,1008,956,51497.63501174015,219946.9632936508
20140806,12189,7756,985,7756,985,940,37238.39814337287,286646.2883248731
20140807,12204,7726,881,7726,881,840,32053.64664768315,287922.2633371169
20140808,12195,7777,910,7777,910,873,30076.342677124856,342471.1615384615
20140809,12225,7742,787,7742,787,746,20700.434513045726,207892.89453621345
20140810,12227,7711,845,7711,845,814,33657.744780184155,224744.6449704142
20140811,12266,7713,989,7713,989,945,42985.92908077272,423259.187057634
20140812,12307,7721,942,7721,942,892,33479.29970211112,328826.81316348194
20140813,12314,7773,910,7773,910,864,33642.94596680818,334039.02967032965
20140814,12301,7791,933,7791,933,891,33076.96829675266,227159.09003215434
20140815,12316,7814,948,7814,948,907,31296.598413104683,249489.4588607595
20140816,12346,7807,831,7807,831,778,27547.03932368387,263795.8351383875
20140817,12370,7780,880,7780,880,827,19277.412724935733,158595.55
20140818,12401,7770,1017,7770,1017,962,38416.87850707851,254836.79056047197
20140819,12411,7800,985,7800,985,934,34154.099102564105,258812.05786802032
20140820,12436,7887,957,7887,957,917,39099.61861290732,211549.4064785789
20140821,12436,7904,991,7904,991,943,31852.67168522267,221961.00504540867
20140822,12446,7892,977,7892,977,947,31210.853522554484,183571.3469805527
20140823,12459,7887,832,7887,832,792,17929.76125269431,239636.45552884616
20140824,12471,7864,850,7864,850,807,16555.88555442523,224800.17764705882
20140825,12508,7879,1057,7879,1057,1000,39291.05508313238,295566.14096499525
20140826,12517,7893,1001,7893,1001,954,38888.26669200558,285193.36963036965
20140827,12527,7940,1086,7940,1086,1048,38059.79861460957,431090.37476979743
20140828,12557,7955,1026,7955,1026,978,30808.642489000627,290344.89376218326
20140829,12596,7976,1036,7976,1036,980,33544.974047141426,264243.61003861006
20140830,12603,7969,902,7969,902,855,25060.706738612123,217709.68292682926
20140831,12614,7935,1031,7935,1031,984,34667.95374921235,284134.8525703201
